city,admin_name
Meiyuan Xincun,Jiangsu
Dongtundu,Hunan
Sanjiang,Anhui
Dongjie,Fujian
Haidian,Beijing
Nanchansi,Jiangsu
Xinluoqu,Fujian
Daoli,Heilongjiang
Gulou,Beijing
Xuhui,Shanghai
Xihu,Gansu
Xiaobailou,Tianjin
Nangang,Heilongjiang
Pingjianglu,Jiangsu
Chong’ansi,Jiangsu
Xincheng,Shaanxi
Luwan,Shanghai
Chengzhong,Guangxi
